ID_AUFTRAG_ZPM,STW_NUM,n0_3,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB,Ssp_Randkonstruktion
5465,9.4,7.531,2370.5,13.21,1979,160,1,1,1
5466,16,4.284,9006.3,18.48,2002,160,1.16,1.07,1
5467,16,4.284,9006.3,18.48,2002,160,1.16,1.07,1
5474,4.5,20.815,681.3,9.462,1939,110,1.018,0.945,1
5488,4.5,17.943,702.5,13.13,1933,160,0.847,0.843,1
5489,4.5,19.017,711.6,11.84,1933,160,0.847,0.843,0
5510,4.6,33.514,2509,12.31,1911,160,1.47,3.12,0
5511,4.6,33.969,4355.4,20.8,1911,160,1.47,3.12,1
5523,5.5,15.337,809.5,9.28,1916,160,0.852,0.856,1
5524,5.5,15.794,809.5,8.75,1916,160,0.852,0.856,1
5525,6.6,12.576,1159,9.53,1916,160,0.886,0.894,1
5526,6.6,12.622,1159,9.46,1916,160,0.886,0.894,1
5527,6.85,16.54,1635.5,6.7,1915,160,1.2,4.22,1
5528,6.85,16.54,1635.5,6.7,1915,160,1.2,4.22,0
5531,19,4.238,19043.1,20.07,2002,160,1.57,1.125,1
5532,19,4.32,17823.2,18.08,2002,160,1.57,1.125,0
5533,3.6,33.107,679.7,9.11,1914,160,0.842,1,1
5534,3.6,32.921,593.9,8.05,1914,160,0.842,1,0
5537,11.6,6.163,3291.98,11.81,1983,160,2.02,1.09,0
5538,11.6,5.708,3291.98,13.77,1983,160,1.99,1.06,1
5545,6.6,13.001,3331.3,25.63,1917,160,0.893,0.902,0
5546,6.6,12.95,3275.9,25.4,1919,160,0.893,0.902,0
5547,5.5,17.235,2492,22.62,1919,160,0.86,0.864,0
5548,5.5,17.232,2492,22.63,1919,160,0.86,0.864,0
5558,3.5,25.062,278.1,7.28,1927,160,0.78,0.78,1
5559,3.5,23.292,328.1,9.944,1927,160,0.78,0.78,1
5560,5.5,19.36,1233.5,8.874,1927,160,0.86,0.87,1
5561,5.5,19.169,1621.3,11.898,1927,160,0.86,0.87,0
5562,5.5,19.169,1621.3,11.898,1927,160,0.86,0.87,1
5568,12.6,7.095,16309,31.72,1916,150,1.38,1.38,1
5569,12.6,7.346,11135,20.2,1916,150,1.38,1.38,0
5570,12.6,7.363,18238,32.93,1916,150,1.38,1.38,0
5571,12.6,7.345,18441,33.46,1916,150,1.38,1.38,1
5576,10.6,8.071,10788.9,32.37,1913,150,1.08,1.09,1
5623,13.51,5.201,5570,15.25,1982,150,1.33,1.18,1
5624,13.51,5.201,5570,15.25,1982,150,1.33,1.18,1
5625,8.6,10.519,2237,9.12,1913,150,0.82,0.83,1
5626,8.6,10.281,2744,11.71,1913,150,0.82,0.83,0
5627,8.6,10.203,2744,11.89,1913,150,0.82,0.83,1
5628,5.4,20.966,1271,8.39,1972,150,0.9,0.86,1
5629,5.4,21.402,1326,8.4,1972,150,0.9,0.86,1
5630,15.35,4.607,8943,18.73,1989,140,1,1,1
5631,14.93,4.954,8643,17.49,1989,140,1,1,1
5636,3.4,93.598,6784.9,14.3,1915,160,0.79,0.81,1
5637,3.4,32.661,509,8.81,1915,160,0.79,0.81,0
5638,3.4,33.277,472,7.87,1915,160,0.79,0.81,1
5639,8.6,9.663,4415,21.33,1915,160,0.88,0.88,1
5640,8.6,9.914,3972,18.23,1915,160,0.88,0.88,0
5641,8.6,9.731,3260,15.53,1915,160,0.88,0.88,0
5644,3.3,38.486,766,10.76,1935,160,0.78,1.91,1
5645,3.3,30.057,297,6.84,1935,160,0.78,1.91,1
5648,12.5,5.361,4828,16.98,1978,160,1,1.04,1
5649,12.5,5.392,4775,16.6,1978,160,1,1.04,1
5652,8.75,7.085,1405,11.78,1978,200,0.96,0.95,1
5653,8.75,7.14,1405,11.6,1978,200,0.96,0.95,1
5654,5,20.262,1041,10.01,1941,200,0.95,1.35,1
5655,5,19.956,1041,10.32,1941,200,0.95,1.35,1
5672,2.9,41.551,436,8.81,1978,200,0.674,0.68,1
5673,2.9,41.551,436,8.81,1978,200,0.674,0.68,1
5678,9.5,10.671,5105,13.58,1985,200,0.94,0.95,1
5679,9.5,10.671,5105,13.58,1985,200,0.94,0.95,1
5680,9.5,10.671,5105,13.58,1985,200,0.94,0.95,1
5681,9.5,10.671,5105,13.58,1985,200,0.94,0.95,1
5704,7.91,8.342,1369,12.4,1983,200,1,1,1
5705,7.91,8.342,1369,12.4,1983,200,1,1,1
5706,7.61,8.455,1164,11.98,1983,200,1,1,1
5707,7.61,8.455,1164,11.98,1983,200,1,1,1
5734,4.1,25.714,549,7.25,1925,160,1.29,1.9,1
5735,4.1,25.714,549,7.25,1925,160,1.29,1.9,1
5736,3.6,29.337,406,6.93,1925,160,1.25,1.4,1
5737,3.6,29.337,406,6.93,1925,160,1.25,1.4,1
5738,2.5,34.243,137,7.38,1936,160,0.93,1.16,1
5739,2.5,34.243,137,7.38,1936,160,0.93,1.16,1
5740,2.7,43.575,292,7.14,1935,160,1.13,1.27,1
5741,2.7,43.254,299,7.42,1935,160,1.13,1.27,1
5742,7.33,12.454,1646,9.07,1926,160,0.94,2.29,1
5743,7.33,12.454,1646,9.07,1926,160,0.94,2.29,1
5749,9,11.426,3753,10.81,1926,160,1.09,2.4,1
5750,9,11.426,3753,10.81,1926,160,1.09,2.4,1
5752,11,10.237,5447,8.76,1950,160,1.6,1.06,1
5756,3.8,26.062,450,7.84,1926,160,0.94,1.37,1
5757,3.8,26.062,450,7.84,1926,160,0.94,1.37,1
5761,4.75,16.807,366,6.28,1971,160,1.19,1,1
5762,4.75,16.807,366,6.28,1971,160,1.19,1,1
5763,7.7,13.207,2326,9.36,1924,160,1.12,2.5,1
5764,7.7,13.207,2326,9.36,1924,160,1.12,2.5,1
5771,12.2,5.198,2911,12,1974,160,1.56,4.76,1
5773,12.2,5.198,2911,12,1974,160,1.56,4.76,1
5778,6.2,17.014,1907,11,1934,160,1.11,1.67,1
5779,6.2,17.014,1907,11,1934,160,1.11,1.67,1
5784,4.4,25.31,795,8.17,1924,160,1.44,1,1
5785,4.4,25.31,795,8.17,1924,160,1.44,1,1
5790,4.4,25.31,795,8.17,1924,160,1.42,1.74,1
5791,4.4,25.31,795,8.17,1924,160,1.42,1.74,1
5795,9.2,11.279,3886,10.52,1936,160,1.25,2.35,1
5796,9.2,10.385,3745,11.96,1936,160,1.25,2.35,1
5797,4.5,21.021,564,7.68,1925,160,0.98,1,1
5798,4.5,21.021,564,7.68,1925,160,0.98,1,1
5799,2.4,46.846,198,6.71,1933,160,1.05,1.19,1
5800,2.4,49.675,216,6.51,1933,160,1.05,1.19,1
5801,5,14.426,369,7,1970,160,1.03,3.27,1
5802,5,14.426,369,7,1970,160,1.03,3.27,1
5803,16,4.957,11008,16.87,1974,160,1.31,1.1,1
5804,16,4.957,11008,16.87,1974,160,1.31,1.1,1
5806,9,8.876,3132,14.95,1987,160,1.618,0.855,1
5807,9,8.876,3132,14.95,1987,160,1.618,0.855,0
5808,11.22,6.821,4393,14.7,1990,160,2.67,1.03,1
5809,11.22,6.821,4393,14.7,1990,160,2.67,1.03,1
5810,6.1,22.567,2992,10.47,1950,160,1.28,1,1
5811,6.1,23.219,3098,10.24,1919,160,1.28,1,1
5812,11.5,5.751,3273,13.96,1972,160,1.39,1.1,1
5813,11.5,5.751,3273,13.96,1972,160,1.39,1.1,1
5814,14,4.302,3896,13.52,1973,160,1.19,1.05,1
5815,14,4.302,3896,13.52,1973,160,1.19,1.05,1
5818,6.6,8.452,445,8.1,1974,130,0.89,0.9,1
5819,6.6,8.463,445,8.08,1974,130,0.89,0.9,0
5820,5.4,18.037,796,7.1,1936,130,0.95,1.41,1
5821,5.4,18.037,796,7.1,1938,130,0.95,1.41,0
5822,5.4,16.63,731,7.67,1929,130,0.903,2.062,0
5823,5.4,16.63,731,7.67,1929,130,0.903,2.062,1
5824,4.1,23.5,444,7.02,1926,150,0.84,1.82,1
5825,4.1,23.5,444,7.02,1926,150,0.84,1.82,1
5827,5.8,16.362,981,7.99,1925,150,0.877,1.58,1
5828,5.8,16.362,981,7.99,1925,150,0.877,1.58,1
5829,15,5.436,9580,15.8,1974,150,1.11,5.771,1
5830,15,5.436,9580,15.8,1974,150,1.11,5.771,1
5832,6.6,15.166,1668,9.43,1932,150,1.39,2.36,1
5833,6.6,15.166,1668,9.43,1932,150,1.39,2.36,1
5834,2.1,65.861,213,6.23,1940,150,1.01,1.33,2
5836,10.6,7.056,3072,12.06,1976,130,0.99,1,1
5837,10.6,7.056,3072,12.06,1976,130,0.99,1,1
5841,4,34.009,2400,20,1985,160,3.4,1,1
5842,4,33.897,2600,21.81,1985,160,3.4,1,1
5843,15.2,5.957,13383,17.43,1976,160,1.98,1.15,1
5844,15.2,5.957,13383,17.43,1976,160,1.98,1.15,1
5845,7.55,13.971,3082,11.99,1936,160,1.31,2.68,1
5846,7.55,13.971,3082,11.99,1936,160,1.31,2.68,1
5851,16,4.935,10775,16.66,1973,160,1.32,1.1,1
5852,16,4.935,10775,16.66,1973,160,1.32,1.1,1
5858,4.8,20.357,666,7.47,1926,160,1.02,1.58,1
5859,4.8,20.357,666,7.47,1926,160,1.02,1.58,1
5863,7.26,9.165,888,9.39,1969,160,1.07,4.24,1
5864,7.26,9.165,888,9.39,1969,160,1.07,4.24,1
5867,5.4,20.867,1334,8.89,1926,160,0.9,1,1
5868,5.4,20.867,1334,8.89,1926,160,0.9,1,1
5869,15,5.299,8491,14.74,1973,160,1.31,1.1,1
5870,15,5.977,9946,13.57,1973,160,1.31,1.1,1
5874,4.3,15.794,262,7.58,1966,160,1.073,3.289,1
5875,4.3,18.074,363,8.02,1966,160,1.073,3.289,1
5877,5.2,16.727,694,8.37,1910,160,1.092,2.558,1
5878,5.2,16.727,694,8.37,1910,160,1.092,2.558,1
5880,7.4,14.83,2745,10.27,1926,130,0.88,0.88,1
5881,7.4,11.793,2400,14.2,1926,130,0.88,0.88,1
5890,10,12.764,7851,11.89,1949,140,0.98,0.99,0
5891,10,12.764,7851,11.89,1950,140,0.98,0.99,0
5896,15.89,5.478,16260,20.97,1990,160,1.12,1.07,1
5897,15.89,5.478,16260,20.97,1990,160,1.12,1.07,1
5898,9.14,7.305,1372,9.09,1969,160,0.97,0.96,1
5899,9.14,7.506,1372,8.61,1969,160,0.97,0.96,1
5902,8.3,10.019,1811,9.38,1925,160,1.03,1.03,1
5903,8.3,10.019,1811,9.38,1925,160,1.03,1.03,1
5982,5.8,17.89,1145,7.8,1930,110,0.84,2.21,0
5983,5.8,17.89,1145,7.8,1930,110,0.84,2.21,1
5990,22.25,3.21,20025,19.56,1988,160,1.345,1.235,1
5991,22.25,3.21,20025,19.56,1988,160,1.345,1.235,1
5994,8,13.62,3252,10.56,1969,160,1.04,2.74,1
5995,8,13.62,3252,10.56,1969,160,1.04,2.74,1
6000,5.5,19.099,1204,8.9,1923,200,0.91,0.91,1
6001,5.5,19.099,1204,8.9,1923,200,0.91,0.91,1
6023,8.9,10.832,3446,11.55,1926,160,0.98,0.98,1
6024,8.9,10.832,3446,11.55,1926,160,0.98,0.98,1
6025,5.8,9.572,303,7.21,1970,160,0.88,0.89,1
6026,5.8,9.572,303,7.21,1970,160,0.88,0.89,1
6066,3.75,27.2,405,6.83,2008,60,0.795,2.166,1
6076,6,13.43,648,6.84,1980,100,0.88,0.89,0
6085,5.2,14.072,909,15.49,1981,200,1.12,1.03,1
6086,5.2,16.778,810,9.71,1981,200,1,1.03,0
6096,11.15,7.168,5639,17.52,1927,120,1.066,6.86,1
6097,11.4,6.675,5639,18.49,1927,120,1.066,6.86,1
6115,4.8,13.45,404,10.38,1983,120,1,1,1
6116,4.8,15.047,454,9.32,1983,120,1,1,0
6118,4.8,15.047,454,9.32,1983,160,1,1,0
6121,11.8,9.686,8691,11.79,1928,160,0.99,1.02,1
6122,8.7,14.04,5094,11.13,1928,160,0.95,0.94,1
6123,8.7,14.04,5094,11.13,1928,160,0.95,0.94,0
6124,11.8,9.686,8691,11.79,1928,160,0.99,1.02,0
6142,11,6.314,2226,9.41,1934,90,0.99,1,1
6143,11,6.314,2226,9.41,1934,90,0.99,1,0
6144,11,6.314,2226,9.41,1934,90,0.98,1,1
6145,11,6.314,2226,9.41,1934,90,0.98,1,0
6150,18.53,4.052,14222,18.13,1986,160,1.48,1.65,1
6151,18.53,4.138,13621,16.65,1986,160,1.6,1.57,1
6154,8.2,13.747,5634,16.27,1933,160,1,1,1
6157,10.5,5.943,2300,13.22,1979,160,1.03,1.04,1
6209,14.45,3.955,3977,14.39,1983,130,1.32,1.1,1
6234,16,4.214,6829,14.48,1983,130,1.7,3,1
6257,16,4.214,6829,14.48,1983,130,1.7,3,1
6292,16,4.943,11876,18.3,1985,160,2.22,1.055,1
6293,16,4.943,11876,18.3,1985,160,2.22,1.055,1
6294,20.3,3.76,18909,19.43,1985,160,1.925,1.2,1
6295,20.3,3.76,18909,19.43,1985,160,1.925,1.2,1
6407,15.82,5.243,16950,24.29,1987,280,2.66,1,1
6408,15.82,5.243,16950,24.29,1987,280,2.66,1,1
6409,8.6,8.75,2896,17.06,1987,280,2.06,1,1
6410,8.6,8.75,2896,17.06,1987,280,2.06,1,1
6494,6.6,25.274,4485,9.13,1910,160,1.25,5.49,1
6495,6.6,25.274,4485,9.13,1910,160,1.25,5.49,0
6496,3.75,33.568,587,6.5,1910,160,0.78,3.29,0
6497,3.75,33.568,587,6.5,1910,160,0.78,3.29,1
6498,4,32.228,1069,9.92,1910,160,0.91,2.14,1
6499,4,32.228,1069,9.92,1910,160,0.91,2.14,0
6500,4,32.228,1069,9.92,1910,160,0.91,2.14,1
6501,4,32.228,1069,9.92,1910,160,0.91,2.14,0
6516,4.7,21.188,578,6.51,1923,160,0.83,1,1
6517,4.7,21.188,578,6.51,1923,160,0.83,1,1
6520,5.49,13.794,868,12.39,1909,160,0.8,2.04,1
6521,5.49,13.794,868,12.39,1909,160,0.8,2.04,1
6524,5.2,17.013,880,10.26,1912,160,0.81,1.19,1
6525,5.2,16.916,792,9.34,1912,160,0.81,1.19,1
6526,2.5,45.673,250,7.57,1973,160,1.22,1,1
6527,2.5,45.673,250,7.57,1973,160,1.22,1,1
6528,2.5,48.44,250,6.73,1973,160,1.22,1,1
6529,2.5,48.44,250,6.73,1973,160,1.22,1,1
6535,4.8,19.13,622,7.9,1934,160,1.265,3.827,1
6536,4.8,19.13,622,7.9,1934,160,1.265,3.827,1
6538,7.3,8.358,825,10.26,1977,160,1.18,1.18,1
6539,7.3,8.539,788,9.39,1977,160,1.18,1.18,1
6632,6.76,17.706,3773,14.22,1930,200,1.007,1.007,1
6639,4.1,26.526,772,9.58,1932,200,1.4,1.4,1
6640,5.2,16.491,772,9.58,1932,200,1.12,1.12,1
6651,10.25,12.196,9103,13.68,1933,200,1.33,1.093,1
6652,10,12.524,10019,15.76,1933,200,1.135,1.161,0
6653,3.9,36.134,1540,12.58,1933,200,0.868,0.892,1
6654,3.9,35.981,1697,13.98,1933,200,0.868,0.892,0
6655,10,12.814,9103,13.68,1933,200,1.135,1.161,1
6656,10.25,11.921,10019,15.76,1933,200,1.33,1.093,0
6657,8.7,11.212,2954,10.12,1930,200,1.53,1.109,1
6658,8.7,11.258,3340,11.35,1930,200,1.53,1.109,0
6659,5.6,23.422,2368,10.83,1930,200,1.039,1.039,0
6660,5.6,21.826,2026,10.67,1930,200,1.039,1.039,1
6667,7.72,11.905,2034,9.97,1931,160,1.246,1.049,1
6668,7.72,12.948,2464,10.21,1931,160,1.246,1.049,0
6673,13.1,6.759,8681,15.92,1932,160,1.338,1.347,1
6674,13.1,8.124,14753,18.73,1952,160,1.634,1.071,0
6685,9.37,7.589,3217,17.88,1931,80,1.114,1.111,0
6686,9.37,7.589,3217,17.88,1931,80,1.105,1.103,0
6687,21.1,3.215,20573,24.77,1931,80,1.393,1.463,1
6690,21.1,3.357,18066,19.96,1931,80,1.393,1.463,0
6691,9.37,7.282,3707,22.38,1931,80,1.114,1.111,1
6692,9.37,7.282,3707,22.38,1931,80,1.105,1.103,1
6755,6.1,9.949,561,10.1,1934,200,1.12,1.018,1
6756,6.1,10.056,715,12.6,1934,200,1.125,1.018,0
6757,6.1,14.801,1217,9.9,1934,200,1.067,1.018,0
6759,2.8,32.833,239,8.9,1934,200,1.195,1.195,1
6760,2.8,33.928,238,8.3,1934,200,1.195,1.195,0
6761,3.8,18.984,261,8.57,1990,200,1,1,0
6762,3.8,18.274,219,7.76,1990,200,1,1,1
6833,16.65,3.714,6808,15.85,1986,140,1.944,1.9,1
6834,16.65,3.808,7323,16.21,1986,140,1.944,1.9,0
6835,3.3,50.785,1283,10.35,1927,140,1.003,1.003,1
6836,3.3,50.785,1283,10.35,1927,140,1.003,1.003,1
6837,9,13.116,5466,11.95,1927,140,1.899,1.899,1
6838,3.3,50.785,1283,10.35,1927,140,1.003,1.003,0
6839,3.3,50.785,1283,10.35,1927,140,1.003,1.003,0
6840,9,13.116,5466,11.95,1927,140,1.899,1.899,0
6841,6.88,8.352,919,14.51,1985,140,1,1,1
6844,12.7,5.112,3913,14.2,1977,120,1.057,1.1,1
6851,12.28,5.886,5850,18.32,1985,140,1.3,1.3,1
6854,12.6,6.162,8649,22.3,1991,200,1.93,1.93,1
6855,12.6,6.022,8303,22.41,1991,200,1.93,1.93,0
6947,6.35,14.918,1028,7.01,1912,130,1.45,1,1
6948,5.35,15.323,619,7.94,1912,130,1.09,1,0
6949,5.3,14.839,507,7.2,1912,130,0.849,0.851,1
6963,13.2,5.578,5778,15.09,1984,160,1.009,0.998,1
6964,13.2,5.344,5798,16.5,1984,160,1,1,0
6967,15.5,3.919,4063,11.31,1984,130,1,1,0
6969,4.6,14.687,310,7.92,1976,130,1.41,1,1
7017,4.8,12.63,267,7.78,1975,160,0.844,0.835,1
7018,4.8,11.8,287,9.58,1975,160,0.844,0.835,1
7067,3.6,30.438,502,7.96,1934,160,1.335,1.335,1
7068,3.6,27.516,502,9.74,1934,160,1.335,1.335,1
7073,4.75,25.649,1508,11.11,1954,160,1.08,1.08,2
7074,4.75,25.649,1508,11.11,1954,160,1.08,1.08,2
7281,6.8,7.646,538,10.62,1978,160,1.2,1.2,2
7282,6.2,9.834,615,10.62,1978,160,1.07,1.07,1
7283,6.2,9.834,615,10.62,1978,160,1.07,1.07,1
7290,7,11.06,838,7.04,1939,160,0.793,0.791,1
7291,7,11.06,838,7.04,1939,160,0.748,0.753,1
7293,4.8,22.414,1444,13.36,1945,160,2.04,0.917,1
7317,4.7,12.729,224,6.99,1993,130,1.1,1,1
7318,4.8,14.528,480,10.57,1930,130,1.218,1,0
7340,6.46,12.6,976,8.71,1930,160,0.978,1,1
7344,4.5,13.669,272,8.76,1978,160,1.07,1,0
7345,4.5,16.384,410,9.19,1978,160,1.07,1,1
7346,4.5,13.669,272,8.76,1978,160,1.07,1,0
7393,6.6,14.42,1799,11.25,1909,130,0.815,0.823,1
7411,6.8,9.664,1324,16.36,1978,120,0.908,0.924,0
7412,19.85,3.519,22580,28.98,1999,140,1.183,1.182,2
7413,19.85,3.727,16765,19.18,1999,140,1.17,1.17,2
7436,16,5.965,16348,17.3,1954,160,1.471,1.168,1
7438,19.69,3.247,13485,21,1989,140,1.121,1.121,1
7439,19.69,3.228,12058,19,1989,140,1.217,1.217,1
7473,11.75,4.924,2493,13.31,1987,140,1.05,1.05,1
7474,11.75,4.941,2490,13.2,1987,140,1.05,1.05,1
7507,4.6,14.498,222,5.82,1969,120,0.952,0.828,1
7509,6.7,9.767,1033,13.26,1980,160,1.02,1.02,1
7510,6.7,9.767,1033,13.26,1980,160,1.02,1.02,1
7523,9.8,6.594,2297,14.13,1974,160,1.03,1.031,1
7524,9.8,6.594,2297,14.13,1974,160,1.03,1.031,1
7532,3.57,22.174,268,8.28,1978,160,1.261,1.261,1
7533,3.57,22.587,268,7.98,1978,160,1.261,1.261,1
7542,12.5,4.535,3126,15.36,1989,130,1,1,1
7543,12.5,4.588,3155,15.15,1989,130,1,1,1
7549,6.8,9.765,466,5.64,1962,130,0.962,0.924,1
7550,6.8,9.765,466,5.64,1962,130,0.962,0.924,1
7561,10,6.253,2174,13.72,1980,160,1.006,1.032,1
7562,10,6.253,2174,13.72,1980,160,1.006,1.032,1
7577,8,13.173,2580,8.956,1918,160,1.238,1.112,0
7578,8,13.173,2580,8.956,1918,160,1.238,1.112,0
7604,3.6,34.238,711,8.91,1950,140,1.317,0.778,1
7605,3.6,34.238,711,8.91,1950,140,1.317,0.778,1
7612,2.6,35.1,230,10.08,1932,140,1.095,1.095,1
7613,2.6,35.1,230,10.08,1932,140,1.095,1.095,1
7614,2.7,33.852,214,8.67,1932,140,1.003,1.003,1
7615,2.7,33.852,214,8.67,1932,140,1.003,1.003,1
7616,2.6,40.45,190,6.27,1927,140,1.05,1.05,1
7617,2.6,40.018,183,6.17,1927,140,1.05,1.05,1
7618,3.5,24.109,257,7.27,1927,140,1.123,1.123,1
7619,3.5,24.109,257,7.27,1927,140,1.123,1.123,1
7622,5.6,11.559,406.3,7.63,1933,140,1.204,1.204,1
7623,5.6,11.559,406.3,7.63,1933,140,1.205,1.205,1
7653,4,25.07,536,8.22,1938,130,1.088,1.088,1
7654,4,25.07,536,8.22,1938,130,1.088,1.088,1
7687,5.87,20.248,4778,24.219,1933,130,0.854,3.152,1
7688,5.4,25.516,8586.3,38.269,1933,130,1.068,2.937,1
7689,5.1,27.962,7522,35.089,1933,130,0.965,2.34,1
7690,8.1,14.087,10351,29.9,1933,130,1.122,4.75,1
7691,5.35,21.688,3763,24.095,1933,130,0.971,2.869,1
7692,5.1,23.836,3808,24.445,1933,130,1.094,2.528,1
7693,5.35,21.871,3919,24.675,1933,130,0.971,2.869,1
7695,7.3,20.826,1042.29,2.088,1932,160,1.38,1.38,1
7696,2.97,124.769,8424,17.16,1933,160,1.45,1.999,1
7697,2.97,124.769,8424,17.16,1933,160,1.45,1.999,1
7698,8.36,17.994,13146,20.51,1933,160,1.52,1.15,1
7699,8.87,15.02,11381,20.11,1933,160,1.52,1.15,1
7702,3.54,14.301,209.83,16.12,1988,160,1.09,3,2
7703,3.5,14.417,209.83,16.6,1988,160,1.08,3,2
7704,6.5,8.327,855.21,17.05,1900,160,0.82,0.82,1
7726,10,8.243,4332,15.73,1969,200,0.94,3,1
7727,10,8.243,4332,15.73,1969,200,0.94,3,1
7737,16.2,4.208,7468,15.11,1991,200,1.04,1.1,1
7738,15.85,4.278,7891,16.86,1991,200,1.12,1.2,1
7755,15.3,3.766,4520.9,14.35,1985,160,1.03,1.99,1
7756,15.3,3.766,4520.9,14.35,1983,160,1.03,1.99,1
7773,8.6,17.451,9789,14.5,1955,160,0.949,0.94,1
7774,8.6,17.451,9789,14.5,1955,160,0.949,0.94,1
7784,5.2,13.393,556,10.46,1975,200,0.99,1.9,1
7785,5.2,13.393,556,10.46,1975,200,0.99,1.9,1
7813,2.7,34.008,349,14.01,1973,160,1.79,1.14,1
7815,4.7,26.783,1918,13.52,1937,230,0.897,3,1
7842,14.45,4.771,7128,17.72,2005,150,1.18,1.99,1
7843,18.97,3.146,9617,18.51,2005,150,1.06,1.99,1
7850,5.5,17.093,895,8.26,1905,200,0.97,3.93,2
7852,5.85,15.299,901,8.11,1900,200,0.68,3.04,2
7854,5,19.769,791,7.99,1903,200,0.86,3.27,2
7857,6.5,17.087,1863,8.82,1904,200,0.686,2.678,1
7858,6.5,17.087,1863,8.82,1904,200,0.686,2.678,1
7859,5.5,18.833,1122,8.53,1936,200,1.52,2.61,2
7860,4,28.789,583,6.78,1913,200,0.86,2,2
7866,4.45,24.556,552,5.76,1907,200,0.87,3.18,2
7873,5.8,15.794,937,8.19,1933,200,0.91,1.85,1
7874,5.8,15.794,937,8.19,1933,200,0.91,1.85,1
7875,5.8,15.794,937,8.19,1933,200,0.91,1.85,1
7876,5.8,15.794,937,8.19,1933,200,0.91,1.85,1
7883,2,59.365,141,6.17,1903,200,1,1,1
7886,4.5,32.537,936,5.32,1900,200,0.73,2.72,1
7895,4.4,22.529,569,7.38,1900,150,0.9,0.9,1
7897,4.4,22.529,569,7.38,1900,150,0.9,3,0
7901,6.8,14.452,1705,9.42,1946,150,0.78,1.99,1
7902,6.8,14.452,1705,9.42,1946,150,0.78,1.99,1
7903,6,16.815,1053,7.09,1921,150,0.82,0.82,0
7904,5.9,15.916,734,5.9,1921,150,0.98,0.98,1
7905,6,16.815,1053,7.09,1921,150,0.82,0.82,1
7906,5.4,27.561,2856,10.91,1928,110,0.94,0.94,1
7907,5.4,27.561,2856,10.91,1928,110,0.94,0.94,1
7939,5.5,19.686,1361,9.47,1902,120,0.81,3,1
7940,5.5,20.238,1604,10.56,1902,120,0.81,3,1
7953,3.6,30.729,637,9.91,1946,130,0.93,3,1
7954,3.6,31.712,1250,18.26,1946,130,0.93,3,0
7955,3.6,31.288,827,12.41,1946,110,0.93,3,1
7956,3.6,30.871,826.5,12.74,1946,110,0.93,3,0
7960,2.5,32.144,353,21.58,1905,140,0.837,1.957,1
7961,2.5,43.954,1181.2,38.62,1934,140,1.165,2.384,1
7962,5.4,15.369,789.6,9.7,1934,140,1.418,2.109,1
7963,5.8,22.059,3557.5,15.94,1934,140,1.344,3.689,1
7964,5.4,16.052,994.5,11.2,1934,140,1.418,2.109,0
7965,5,22.118,1000,8.07,1904,100,0.78,1.92,2
7966,4.5,21.518,858,11.15,1905,100,1.1,2.61,2
7968,2.5,44.451,381,12.18,1921,120,1.21,1.44,2
7993,6.15,16.728,2088,12.87,1907,120,0.88,2.35,2
8010,11.96,6.927,6797,17.08,1977,150,1,1.03,1
8011,11.96,6.927,6797,17.08,1977,150,1,1.03,1
8016,6.2,11.38,1023,13.19,1976,140,0.77,3.3,2
8017,6.2,11.38,1023,13.19,1976,140,1.04,1.85,2
8023,4.17,29.054,841,8.13,1905,140,0.74,3.09,1
8024,4.17,27.654,880,9.39,1905,140,0.74,3.09,1
8027,11.7,5.011,2817,14.773,1981,140,1.61,4.76,1
8028,11.7,5.011,2817,14.773,1981,140,1.61,4.76,1
8032,5.68,21.6,2655,13.49,1904,160,0.9,3.86,1
8033,6,19.716,2442,11.96,1934,160,0.9,3.86,1
8035,6.5,14.931,2250,13.95,1904,160,0.7,3,1
8036,6.5,14.931,2250,13.95,1904,160,0.7,3,1
8037,2.1,68.758,256,6.87,1927,160,1.27,3.65,1
8038,2.1,70.875,312,7.88,1927,160,1.27,3.65,1
8039,7,16.994,4103,14.6,2023,160,0.9,5.1,1
8040,7,16.994,4103,14.6,2023,160,0.9,5.08,1
8044,5.5,18.045,1501,12.43,1971,140,0.76,3.27,1
8045,5.5,17.347,1241,11.12,1971,140,0.76,3.27,1
8046,5.5,18.385,1607,12.82,1904,140,0.81,1,1
8047,5.5,18.17,1517,12.39,1973,140,0.81,1,1
8070,4,43.524,1394.5,7.095,1902,100,0.7,2,1
8071,4,40.613,1817.4,10.62,1902,100,0.7,2,1
8074,10.23,4.683,1435.92,14.75,1984,100,0.99,0.92,1
8075,10.23,4.683,1435.92,14.75,1984,100,0.99,0.92,1
8088,9.25,6.633,1962,15.03,1997,80,1,1,1
8096,5.5,28.474,5304,17.64,1930,140,1.12,1.29,2
8107,5.8,17.716,1140,7.92,1916,140,0.86,2.49,1
8109,4,27.157,694,9.07,1907,140,0.99,2.12,2
8111,17.6,4.165,14173,21.01,1990,140,1.44,6.38,2
8121,8,11.978,3680,15.45,1971,140,1.015,1.005,2
8122,8.6,11.308,4618,16.29,1970,140,1,1.999,2
8125,14.2,4.285,5360.3,17.72,1985,80,1.3,3,2
8127,2.72,80.007,1136,8,1913,80,1.788,1.999,2
8134,8.74,10.368,5000,19.67,1938,80,1.309,1.999,2
